,SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
0,2019,9,16,월,ARP1,ARP3,L,L1702,A,9:05,0.0,0.00031180795635628593
1,2019,9,16,월,ARP3,ARP1,L,L1702,D,7:55,0.0,0.00017547574486464273
2,2019,9,16,월,ARP1,ARP3,L,L1720,A,14:40,1.0,0.9989516518770131
3,2019,9,16,월,ARP3,ARP1,L,L1720,D,13:30,1.0,0.9984521750161873
4,2019,9,16,월,ARP4,ARP3,L,L1808,A,20:10,0.0,0.00017106508387201228
5,2019,9,16,월,ARP3,ARP4,L,L1808,D,19:10,0.0,0.000180130370118856
6,2019,9,16,월,ARP3,ARP9,J,J1934,A,16:00,0.0,0.00033143660076590355
7,2019,9,16,월,ARP9,ARP3,J,J1934,D,15:00,0.0,0.00018274374396527252
8,2019,9,16,월,ARP3,ARP1,L,L1703,A,8:10,0.0,0.0007080395659695067
9,2019,9,16,월,ARP1,ARP3,L,L1703,D,7:00,0.0,0.00029321260474755715
10,2019,9,16,월,ARP3,ARP4,L,L1809,A,20:35,1.0,0.99651543357867
11,2019,9,16,월,ARP4,ARP3,L,L1809,D,19:35,1.0,0.9991273982993902
12,2019,9,16,월,ARP3,ARP1,L,L1731,A,19:20,0.0,0.001060233605699495
13,2019,9,16,월,ARP1,ARP3,L,L1731,D,18:10,0.0,0.0012496777803109285
14,2019,9,16,월,ARP9,ARP3,J,J1935,A,14:25,0.0,0.0003747668695217875
15,2019,9,16,월,ARP3,ARP1,L,L1705,A,9:25,1.0,0.9978367649956468
16,2019,9,16,월,ARP1,ARP3,L,L1705,D,8:15,1.0,0.9979539123916649
17,2019,9,16,월,ARP1,ARP3,L,L1732,A,21:05,0.0,0.0012607622812035476
18,2019,9,16,월,ARP3,ARP1,L,L1732,D,19:55,0.0,0.00024585334473756486
19,2019,9,16,월,ARP4,ARP3,L,L1810,A,22:10,1.0,0.9981005022915128
20,2019,9,16,월,ARP3,ARP4,L,L1810,D,21:10,1.0,0.9982141445525563
21,2019,9,16,월,ARP3,ARP9,J,J1935,D,13:25,0.0,0.0001951341055092126
22,2019,9,16,월,ARP3,ARP6,J,J1954,A,9:25,0.0,0.00031017514379641856
23,2019,9,16,월,ARP6,ARP3,J,J1954,D,8:20,0.0,0.0004426463035340097
24,2019,9,16,월,ARP1,ARP3,L,L1706,A,9:55,0.0,0.0006840087042694809
25,2019,9,16,월,ARP3,ARP1,L,L1706,D,8:45,0.0,0.00021408790758689638
26,2019,9,16,월,ARP3,ARP1,L,L1733,A,19:35,0.0,0.0004775242786016506
27,2019,9,16,월,ARP1,ARP3,L,L1733,D,18:25,0.0,0.0003029878509792794
28,2019,9,16,월,ARP3,ARP8,L,L1901,A,10:25,0.0,0.00288776094035701
29,2019,9,16,월,ARP8,ARP3,L,L1901,D,9:30,0.0,0.0002460468058262983
30,2019,9,16,월,ARP6,ARP3,J,J1955,A,11:10,1.0,0.9988098998597928
31,2019,9,16,월,ARP3,ARP1,L,L1707,A,10:55,0.0,0.001035078070133219
32,2019,9,16,월,ARP1,ARP3,L,L1707,D,9:45,0.0,0.00031185688791232977
33,2019,9,16,월,ARP1,ARP3,L,L1734,A,21:40,0.0,0.0008098595743565734
34,2019,9,16,월,ARP3,ARP1,L,L1734,D,20:30,0.0,0.00017324470607146144
35,2019,9,16,월,ARP8,ARP3,L,L1902,A,8:55,0.0,0.0008526895474081527
36,2019,9,16,월,ARP3,ARP8,L,L1902,D,8:05,0.0,0.0019756696883657422
37,2019,9,16,월,ARP3,ARP6,J,J1955,D,10:05,1.0,0.9977555406739177
38,2019,9,16,월,ARP1,ARP3,L,L1708,A,11:10,1.0,0.9988915586724972
39,2019,9,16,월,ARP3,ARP1,L,L1708,D,10:00,1.0,0.998496497169639
40,2019,9,16,월,ARP3,ARP1,L,L1735,A,20:00,0.0,0.0008539017402643423
41,2019,9,16,월,ARP1,ARP3,L,L1735,D,18:50,0.0,0.0006915310746835567
42,2019,9,16,월,ARP3,ARP8,L,L1903,A,12:55,1.0,0.998782370174756
43,2019,9,16,월,ARP8,ARP3,L,L1903,D,12:10,1.0,0.9987222549724578
44,2019,9,16,월,ARP3,ARP6,J,J1956,A,15:20,1.0,0.9958311690571072
45,2019,9,16,월,ARP6,ARP3,J,J1956,D,14:15,1.0,0.9988372897217088
46,2019,9,16,월,ARP1,ARP3,L,L1736,A,22:15,0.0,0.0010596829793746256
47,2019,9,16,월,ARP3,ARP1,L,L1736,D,21:05,0.0,0.00023310070064728252
48,2019,9,16,월,ARP8,ARP3,L,L1904,A,11:40,1.0,0.9991258440610854
49,2019,9,16,월,ARP3,ARP8,L,L1904,D,10:50,1.0,0.9987138628450677
50,2019,9,16,월,ARP6,ARP3,J,J1957,A,13:35,0.0,0.0008249495729825108
51,2019,9,16,월,ARP3,ARP6,J,J1957,D,12:30,1.0,0.9986390277294809
52,2019,9,16,월,ARP1,ARP3,L,L1710,A,12:15,0.0,0.00017734734466982467
53,2019,9,16,월,ARP3,ARP1,L,L1710,D,11:05,1.0,0.9988045847680138
54,2019,9,16,월,ARP3,ARP4,L,L1801,A,7:20,0.0,0.00013001045874703592
55,2019,9,16,월,ARP4,ARP3,L,L1801,D,6:20,0.0,0.0002236359832530604
56,2019,9,16,월,ARP1,ARP3,L,L1712,A,12:45,0.0,0.0011598673430830992
57,2019,9,16,월,ARP3,ARP1,L,L1712,D,11:35,0.0,0.0008279457347084975
58,2019,9,16,월,ARP1,ARP3,L,L1722,A,16:15,0.0,0.0001541979999263294
59,2019,9,16,월,ARP3,ARP1,L,L1722,D,15:05,1.0,0.9988025782965356
60,2019,9,16,월,ARP4,ARP3,L,L1802,A,9:25,0.0,0.00021655092113327502
61,2019,9,16,월,ARP3,ARP4,L,L1802,D,8:25,0.0,0.00048503441050970866
62,2019,9,16,월,ARP3,ARP8,L,L1905,A,17:15,0.0,0.0005345732138744686
63,2019,9,16,월,ARP8,ARP3,L,L1905,D,16:30,0.0,0.00020554640895490266
64,2019,9,16,월,ARP6,ARP3,J,J1959,A,16:40,0.0,0.0007019786622740991
65,2019,9,16,월,ARP3,ARP6,J,J1959,D,15:30,0.0,0.000235194736303758
66,2019,9,16,월,ARP3,ARP1,L,L1713,A,12:55,1.0,0.9986644832286165
67,2019,9,16,월,ARP1,ARP3,L,L1713,D,11:45,1.0,0.9989908584258259
68,2019,9,16,월,ARP3,ARP1,L,L1723,A,15:45,0.0,0.0003423071068972415
69,2019,9,16,월,ARP3,ARP4,L,L1803,A,9:55,1.0,0.9976425051751787
70,2019,9,16,월,ARP4,ARP3,L,L1803,D,8:55,1.0,0.9978106044817096
71,2019,9,16,월,ARP8,ARP3,L,L1906,A,15:55,0.0,0.00013475955741565942
72,2019,9,16,월,ARP3,ARP8,L,L1906,D,15:05,0.0,0.0001839004154420914
73,2019,9,16,월,ARP3,ARP6,J,J1960,A,18:25,0.0,0.00045803935816708934
74,2019,9,16,월,ARP1,ARP3,L,L1723,D,14:35,0.0,0.00032028432315137073
75,2019,9,16,월,ARP4,ARP3,L,L1804,A,15:50,0.0,0.0001347721697528852
76,2019,9,16,월,ARP3,ARP4,L,L1804,D,14:45,1.0,0.9974315319666064
77,2019,9,16,월,ARP3,ARP7,L,L1931,A,7:30,0.0,0.00039891093451334116
78,2019,9,16,월,ARP7,ARP3,L,L1931,D,6:40,0.0,0.0007904426597554343
79,2019,9,16,월,ARP6,ARP3,J,J1960,D,17:20,0.0,0.013948019092961282
80,2019,9,16,월,ARP3,ARP1,L,L1715,A,14:00,0.0,0.01647392318464364
81,2019,9,16,월,ARP1,ARP3,L,L1715,D,12:50,1.0,0.9992329211910789
82,2019,9,16,월,ARP3,ARP1,L,L1725,A,16:25,1.0,0.9979683826866801
83,2019,9,16,월,ARP1,ARP3,L,L1725,D,15:15,1.0,0.998772875112696
84,2019,9,16,월,ARP7,ARP3,L,L1932,A,19:00,0.0,0.000740133456107223
85,2019,9,16,월,ARP3,ARP7,L,L1932,D,18:10,0.0,0.021867381561251332
86,2019,9,16,월,ARP3,ARP10,M,M1361,A,11:25,1.0,0.5
87,2019,9,16,월,ARP10,ARP3,M,M1361,D,9:50,1.0,0.5
88,2019,9,16,월,ARP1,ARP3,L,L1726,A,17:30,0.0,0.0001541737301334631
89,2019,9,16,월,ARP3,ARP1,L,L1726,D,16:20,1.0,0.9985879435314545
90,2019,9,16,월,ARP3,ARP4,L,L1805,A,11:05,0.0,0.00225711149537591
91,2019,9,16,월,ARP4,ARP3,L,L1805,D,10:05,1.0,0.9988980591389306
92,2019,9,16,월,ARP3,ARP10,M,M1363,A,18:10,1.0,0.5
93,2019,9,16,월,ARP10,ARP3,M,M1363,D,16:50,1.0,0.5
94,2019,9,16,월,ARP3,ARP1,L,L1717,A,14:30,0.0,0.0006478940755256336
95,2019,9,16,월,ARP1,ARP3,L,L1717,D,13:20,1.0,0.999186798860234
96,2019,9,16,월,ARP3,ARP1,L,L1727,A,18:35,0.0,0.0005996722851411568
97,2019,9,16,월,ARP1,ARP3,L,L1727,D,17:25,0.0,0.0003763950795572745
98,2019,9,16,월,ARP4,ARP3,L,L1806,A,19:05,0.0,0.024995712570597056
99,2019,9,16,월,ARP3,ARP4,L,L1806,D,18:05,1.0,0.9986451054303372
100,2019,9,16,월,ARP3,ARP1,L,L1701,A,7:50,0.0,0.00010399886276233
101,2019,9,16,월,ARP1,ARP3,L,L1701,D,6:40,0.0,0.00029724778975351426
102,2019,9,16,월,ARP1,ARP3,L,L1718,A,13:55,0.0,0.0004477444803867052
